id,y,yp
mp-1209967,-0.5804051534999999,-0.5729308
mp-1517110,-2.942821176416667,-2.9177651
mp-2120,-0.3275084077777777,-0.26954886
mp-1099907,-2.153921748194446,-2.1456118
mvc-9638,-2.238088055499999,-2.2745135
mvc-5908,-2.768343238999999,-2.7525442
mp-1248784,-1.786855971555556,-1.7136155
mp-1205430,-0.2113892427173917,-0.20472321
mp-391,-0.51216235,-0.49440625
mp-32880,-0.5165772237499997,-0.5415897
mp-19199,-3.056463791666668,-2.9806442
mp-1177405,-2.086169191985817,-2.0885167
mp-1079402,-0.909473071249999,-0.9754812
mp-1232284,-1.9449010713392856,-1.9021419
mvc-11285,-0.6252746196153844,-0.68773097
mp-1208679,-4.068890494290123,-4.094942
mp-1226296,-0.5003508060729167,-0.55095553
mp-1008394,0.0,-0.2364626
mp-1191088,0.5419589095833336,0.62129873
mp-1220578,-0.3917118543333345,-0.37892902
mp-1205813,-0.6732002549999989,-0.5501422
mp-1078734,1.7967008919999998,1.7091719
mp-1197725,-0.6570146138333314,-0.6597456
mp-1215711,-0.2696771621220156,-0.30892166
mp-1208667,-1.7332279283333332,-1.7080944
mp-757984,-2.2338064127192983,-2.2427185
mp-1190246,-1.4254673336363632,-1.3252013
mp-1223502,-2.799455251384616,-2.7909095
mp-26904,-2.571919088518518,-2.5798678
mp-761258,-2.494054313711002,-2.4574037
mp-33216,-3.3474458160000014,-3.251351
mp-1183023,-1.0430925240104176,-0.96441185
mp-1183007,-3.861074988125,-3.8780067
mp-1557,-0.4148142491666666,-0.34892833
mp-1209446,-3.6682759518181816,-3.6108885
mp-780666,-2.6793099552622124,-2.632596
mp-849500,-2.513880340696838,-2.481306
mp-697730,-2.216229154005497,-2.1864462
mp-1190325,-1.7878587966666668,-1.7856387
mp-1096573,2.1227284387500003,2.1269534
mp-1209251,-1.7596189293489577,-1.7837468
mp-1177612,-2.3882758081741824,-2.36225
mp-1225664,0.1254393299999995,0.08618391
mp-674645,-2.3653247967241384,-2.4731498
mp-1245682,0.2448871094444449,0.22010975
mp-1104755,-0.5676206315625001,-0.5984837
mp-1213975,-0.3908968543333329,-0.34378105
mp-1191035,-0.8525630291666673,-0.88816535
mp-1174054,-1.7641531091415237,-1.7761619
mp-1202524,-0.9950836085999998,-1.0150211
mp-893,-0.8978384087500002,-0.8509361
mp-863717,-0.2196537200000001,-0.25633696
mvc-11008,-1.8004640169230768,-1.7615521
mp-1100940,-1.556108346126126,-1.5356379
mp-745164,-2.269801636875001,-2.2095609
mp-1076685,-2.175147991455173,-2.1582983
mp-1211858,-2.374794543,-2.3108237
mp-1174223,-1.7110365465972226,-1.6982406
mp-1102536,-1.2135572549999996,-1.2468344
mp-690667,0.453324783645833,0.26973096
mp-561084,-3.716140502500001,-3.6844099
mp-1196941,-0.6867770849999995,-0.7286055
mp-1228082,-2.118313909333334,-2.17112
mp-1247526,-0.2683221959999997,-0.20337343
